Total Loss,Data Term Loss,Regularization Term Loss,Optic Axis Learning Rate,Birefringence Learning Rate
2.758269786834717,2.758269786834717,0.0,0.019000000000000003,1.9e-05
2.5022730827331543,2.5022730827331543,0.0,0.028000000000000004,2.8000000000000003e-05
2.264300584793091,2.264300584793091,0.0,0.037,3.7e-05
2.035560369491577,2.035560369491577,0.0,0.04600000000000001,4.600000000000001e-05
1.8350085020065308,1.8350085020065308,0.0,0.05500000000000001,5.500000000000001e-05
1.675734519958496,1.675734519958496,0.0,0.064,6.400000000000001e-05
1.5544140338897705,1.5544140338897705,0.0,0.073,7.3e-05
1.460447907447815,1.460447907447815,0.0,0.08200000000000002,8.200000000000001e-05
1.3852488994598389,1.3852488994598389,0.0,0.09100000000000001,9.1e-05
1.323323369026184,1.323323369026184,0.0,0.1,0.0001
1.2700475454330444,1.2700475454330444,0.0,0.1,0.0001
1.225084662437439,1.225084662437439,0.0,0.1,0.0001
1.1844851970672607,1.1844851970672607,0.0,0.1,0.0001
1.146493911743164,1.146493911743164,0.0,0.1,0.0001
1.1110455989837646,1.1110455989837646,0.0,0.1,0.0001
1.0786269903182983,1.0786269903182983,0.0,0.1,0.0001
1.0497702360153198,1.0497702360153198,0.0,0.1,0.0001
1.0247608423233032,1.0247608423233032,0.0,0.1,0.0001
1.003591537475586,1.003591537475586,0.0,0.1,0.0001
0.9860220551490784,0.9860220551490784,0.0,0.1,0.0001
0.9715971946716309,0.9715971946716309,0.0,0.1,0.0001
0.9597926139831543,0.9597926139831543,0.0,0.1,0.0001
0.9500347375869751,0.9500347375869751,0.0,0.1,0.0001
0.9417917132377625,0.9417917132377625,0.0,0.1,0.0001
0.9345945715904236,0.9345945715904236,0.0,0.1,0.0001
0.9280669689178467,0.9280669689178467,0.0,0.1,0.0001
0.9219256043434143,0.9219256043434143,0.0,0.1,0.0001
0.915975034236908,0.915975034236908,0.0,0.1,0.0001
0.9100918769836426,0.9100918769836426,0.0,0.1,0.0001
0.9042078256607056,0.9042078256607056,0.0,0.1,0.0001
0.8982913494110107,0.8982913494110107,0.0,0.1,0.0001
0.8923338651657104,0.8923338651657104,0.0,0.1,0.0001
0.8863370418548584,0.8863370418548584,0.0,0.1,0.0001
0.880305826663971,0.880305826663971,0.0,0.1,0.0001
0.8742440938949585,0.8742440938949585,0.0,0.1,0.0001
0.8681525588035583,0.8681525588035583,0.0,0.1,0.0001
0.8620283007621765,0.8620283007621765,0.0,0.1,0.0001
0.8558650016784668,0.8558650016784668,0.0,0.1,0.0001
0.8496533036231995,0.8496533036231995,0.0,0.1,0.0001
0.8433802127838135,0.8433802127838135,0.0,0.1,0.0001
0.8370295763015747,0.8370295763015747,0.0,0.1,0.0001
0.830581545829773,0.830581545829773,0.0,0.1,0.0001
0.8240115642547607,0.8240115642547607,0.0,0.1,0.0001
0.8172897100448608,0.8172897100448608,0.0,0.1,0.0001
0.8103793859481812,0.8103793859481812,0.0,0.1,0.0001
0.8032357692718506,0.8032357692718506,0.0,0.1,0.0001
0.7958032488822937,0.7958032488822937,0.0,0.1,0.0001
0.788013219833374,0.788013219833374,0.0,0.1,0.0001
0.7797805666923523,0.7797805666923523,0.0,0.1,0.0001
0.770999014377594,0.770999014377594,0.0,0.1,0.0001
0.7615373134613037,0.7615373134613037,0.0,0.1,0.0001
0.7512450814247131,0.7512450814247131,0.0,0.1,0.0001
0.7400065660476685,0.7400065660476685,0.0,0.1,0.0001
0.7279367446899414,0.7279367446899414,0.0,0.1,0.0001
0.715606689453125,0.715606689453125,0.0,0.1,0.0001
0.7038282752037048,0.7038282752037048,0.0,0.1,0.0001
0.6935157179832458,0.6935157179832458,0.0,0.1,0.0001
0.6854922771453857,0.6854922771453857,0.0,0.1,0.0001
0.6799147725105286,0.6799147725105286,0.0,0.1,0.0001
0.676358163356781,0.676358163356781,0.0,0.1,0.0001
0.6727448105812073,0.6727448105812073,0.0,0.1,0.0001
0.66904217004776,0.66904217004776,0.0,0.1,0.0001
0.6648578643798828,0.6648578643798828,0.0,0.1,0.0001
0.660233199596405,0.660233199596405,0.0,0.1,0.0001
0.6549848318099976,0.6549848318099976,0.0,0.1,0.0001
0.6487551331520081,0.6487551331520081,0.0,0.1,0.0001
0.6421265006065369,0.6421265006065369,0.0,0.1,0.0001
0.6369746327400208,0.6369746327400208,0.0,0.1,0.0001
0.6369355320930481,0.6369355320930481,0.0,0.1,0.0001
0.6407975554466248,0.6407975554466248,0.0,0.1,0.0001
0.6423177123069763,0.6423177123069763,0.0,0.1,0.0001
0.6415014266967773,0.6415014266967773,0.0,0.1,0.0001
0.6398011445999146,0.6398011445999146,0.0,0.1,0.0001
0.6379245519638062,0.6379245519638062,0.0,0.1,0.0001
0.6360568404197693,0.6360568404197693,0.0,0.1,0.0001
0.6342501640319824,0.6342501640319824,0.0,0.1,0.0001
0.6325058937072754,0.6325058937072754,0.0,0.1,0.0001
0.6308165788650513,0.6308165788650513,0.0,0.1,0.0001
0.629172146320343,0.629172146320343,0.0,0.1,0.0001
0.6275633573532104,0.6275633573532104,0.0,0.1,0.0001
0.6259827017784119,0.6259827017784119,0.0,0.1,0.0001
0.6244226098060608,0.6244226098060608,0.0,0.1,0.0001
0.6228777170181274,0.6228777170181274,0.0,0.1,0.0001
0.6213427782058716,0.6213427782058716,0.0,0.1,0.0001
0.6198126673698425,0.6198126673698425,0.0,0.1,0.0001
0.6182827353477478,0.6182827353477478,0.0,0.1,0.0001
0.6167491674423218,0.6167491674423218,0.0,0.1,0.0001
0.6152070760726929,0.6152070760726929,0.0,0.1,0.0001
0.6136524677276611,0.6136524677276611,0.0,0.1,0.0001
0.6120812892913818,0.6120812892913818,0.0,0.1,0.0001
0.6104901432991028,0.6104901432991028,0.0,0.1,0.0001
0.6088748574256897,0.6088748574256897,0.0,0.1,0.0001
0.6072327494621277,0.6072327494621277,0.0,0.1,0.0001
0.605562150478363,0.605562150478363,0.0,0.1,0.0001
0.6038654446601868,0.6038654446601868,0.0,0.1,0.0001
0.6021497249603271,0.6021497249603271,0.0,0.1,0.0001
0.6004343032836914,0.6004343032836914,0.0,0.1,0.0001
0.5987550020217896,0.5987550020217896,0.0,0.1,0.0001
0.5971497893333435,0.5971497893333435,0.0,0.1,0.0001
0.5956202149391174,0.5956202149391174,0.0,0.1,0.0001
